terminals_budget,K_budget,terminals_len,K,case,algo,obj,time
0.3,0.1,3,0,1,Greedy ES - no ls,1.0,0.00073
0.3,0.1,3,0,1,Greedy ES - ls,1.0,0.00071
0.3,0.1,3,0,1,Greedy MIS - no ls,1.0,0.00123
0.3,0.1,3,0,1,Greedy MIS - ls,1.0,0.00119
0.3,0.1,3,0,1,Exact,1.0,0.00850
0.3,0.1,3,0,2,Greedy ES - no ls,1.0,0.00039
0.3,0.1,3,0,2,Greedy ES - ls,1.0,0.00040
0.3,0.1,3,0,2,Greedy MIS - no ls,1.0,0.00078
0.3,0.1,3,0,2,Greedy MIS - ls,1.0,0.00098
0.3,0.1,3,0,2,Exact,1.0,0.00760
0.3,0.2,3,0,1,Greedy ES - no ls,1.0,0.00072
0.3,0.2,3,0,1,Greedy ES - ls,1.0,0.00076
0.3,0.2,3,0,1,Greedy MIS - no ls,1.0,0.00108
0.3,0.2,3,0,1,Greedy MIS - ls,1.0,0.00117
0.3,0.2,3,0,1,Exact,1.0,0.02839
0.3,0.2,3,1,2,Greedy ES - no ls,1.0,0.00047
0.3,0.2,3,1,2,Greedy ES - ls,1.0,0.00053
0.3,0.2,3,1,2,Greedy MIS - no ls,1.0,0.00065
0.3,0.2,3,1,2,Greedy MIS - ls,1.0,0.00235
0.3,0.2,3,1,2,Exact,1.0,0.00842
0.3,0.3,3,0,1,Greedy ES - no ls,1.0,0.00072
0.3,0.3,3,0,1,Greedy ES - ls,1.0,0.00072
0.3,0.3,3,0,1,Greedy MIS - no ls,1.0,0.00133
0.3,0.3,3,0,1,Greedy MIS - ls,1.0,0.00125
0.3,0.3,3,0,1,Exact,1.0,0.00753
0.3,0.3,3,2,2,Greedy ES - no ls,1.0,0.00035
0.3,0.3,3,2,2,Greedy ES - ls,1.0,0.00060
0.3,0.3,3,2,2,Greedy MIS - no ls,1.0,0.00077
0.3,0.3,3,2,2,Greedy MIS - ls,1.0,0.00374
0.3,0.3,3,2,2,Exact,1.0,0.00843
0.5,0.1,5,0,1,Greedy ES - no ls,3.0,0.00071
0.5,0.1,5,0,1,Greedy ES - ls,3.0,0.00071
0.5,0.1,5,0,1,Greedy MIS - no ls,3.0,0.00112
0.5,0.1,5,0,1,Greedy MIS - ls,3.0,0.00113
0.5,0.1,5,0,1,Exact,3.0,0.00747
0.5,0.1,5,0,2,Greedy ES - no ls,3.0,0.00023
0.5,0.1,5,0,2,Greedy ES - ls,3.0,0.00023
0.5,0.1,5,0,2,Greedy MIS - no ls,3.0,0.00056
0.5,0.1,5,0,2,Greedy MIS - ls,3.0,0.00079
0.5,0.1,5,0,2,Exact,3.0,0.00741
0.5,0.2,5,1,1,Greedy ES - no ls,1.0,0.00069
0.5,0.2,5,1,1,Greedy ES - ls,1.0,0.00093
0.5,0.2,5,1,1,Greedy MIS - no ls,1.0,0.00111
0.5,0.2,5,1,1,Greedy MIS - ls,1.0,0.00335
0.5,0.2,5,1,1,Exact,1.0,0.00891
0.5,0.2,5,1,2,Greedy ES - no ls,1.0,0.00021
0.5,0.2,5,1,2,Greedy ES - ls,1.0,0.00033
0.5,0.2,5,1,2,Greedy MIS - no ls,1.0,0.00043
0.5,0.2,5,1,2,Greedy MIS - ls,1.0,0.00170
0.5,0.2,5,1,2,Exact,1.0,0.00830
0.5,0.3,5,1,1,Greedy ES - no ls,1.0,0.00071
0.5,0.3,5,1,1,Greedy ES - ls,1.0,0.00093
0.5,0.3,5,1,1,Greedy MIS - no ls,1.0,0.00101
0.5,0.3,5,1,1,Greedy MIS - ls,1.0,0.00342
0.5,0.3,5,1,1,Exact,1.0,0.00913
0.5,0.3,5,1,2,Greedy ES - no ls,1.0,0.00021
0.5,0.3,5,1,2,Greedy ES - ls,1.0,0.00034
0.5,0.3,5,1,2,Greedy MIS - no ls,1.0,0.00044
0.5,0.3,5,1,2,Greedy MIS - ls,1.0,0.00169
0.5,0.3,5,1,2,Exact,1.0,0.00790
0.75,0.1,7,0,1,Greedy ES - no ls,6.0,0.00070
0.75,0.1,7,0,1,Greedy ES - ls,6.0,0.00070
0.75,0.1,7,0,1,Greedy MIS - no ls,6.0,0.00122
0.75,0.1,7,0,1,Greedy MIS - ls,6.0,0.00114
0.75,0.1,7,0,1,Exact,6.0,0.00712
0.75,0.1,7,0,2,Greedy ES - no ls,6.0,0.00011
0.75,0.1,7,0,2,Greedy ES - ls,6.0,0.00012
0.75,0.1,7,0,2,Greedy MIS - no ls,6.0,0.00044
0.75,0.1,7,0,2,Greedy MIS - ls,6.0,0.00065
0.75,0.1,7,0,2,Exact,6.0,0.00705
0.75,0.2,7,1,1,Greedy ES - no ls,3.0,0.00070
0.75,0.2,7,1,1,Greedy ES - ls,3.0,0.00097
0.75,0.2,7,1,1,Greedy MIS - no ls,3.0,0.00113
0.75,0.2,7,1,1,Greedy MIS - ls,3.0,0.00341
0.75,0.2,7,1,1,Exact,3.0,0.00910
0.75,0.2,7,0,2,Greedy ES - no ls,6.0,0.00011
0.75,0.2,7,0,2,Greedy ES - ls,6.0,0.00012
0.75,0.2,7,0,2,Greedy MIS - no ls,6.0,0.00043
0.75,0.2,7,0,2,Greedy MIS - ls,6.0,0.00065
0.75,0.2,7,0,2,Exact,6.0,0.00752
0.75,0.3,7,2,1,Greedy ES - no ls,0.0,0.00066
0.75,0.3,7,2,1,Greedy ES - ls,0.0,0.00114
0.75,0.3,7,2,1,Greedy MIS - no ls,0.0,0.00087
0.75,0.3,7,2,1,Greedy MIS - ls,0.0,0.00496
0.75,0.3,7,2,1,Exact,0.0,0.00806
0.75,0.3,7,0,2,Greedy ES - no ls,6.0,0.00011
0.75,0.3,7,0,2,Greedy ES - ls,6.0,0.00012
0.75,0.3,7,0,2,Greedy MIS - no ls,6.0,0.00043
0.75,0.3,7,0,2,Greedy MIS - ls,6.0,0.00066
0.75,0.3,7,0,2,Exact,6.0,0.00721
